Year,Month,Entry,Exit,Riders
2020,Jan,LM,SB, 15 
2020,Jan,LM,SO, 31 
2020,Jan,LM,MB, 16 
2020,Jan,LM,WD, 102 
2020,Jan,LM,OA, 13 
2020,Jan,LM,WS, 89 
2020,Jan,LM,ML, -   
2020,Jan,LM,BE, -   
2020,Jan,LM,PC, 11 
2020,Jan,LM,AN, 20 
2020,Jan,FV,RM, 78 
2020,Jan,FV,EN, 85 
2020,Jan,FV,EP, 43 
2020,Jan,FV,NB, 57 
2020,Jan,FV,BK, 257 
2020,Jan,FV,AS, 92 
2020,Jan,FV,MA, 144 
2020,Jan,FV,19, 186 
2020,Jan,FV,12, 207 
2020,Jan,FV,LM, 142 
2020,Jan,FV,FV, 23 
2020,Jan,FV,CL, 183 
2020,Jan,FV,SL, 224 
2020,Jan,FV,BF, 181 
2020,Jan,FV,HY, 181 
2020,Jan,FV,SH, 71 
2020,Jan,FV,UC, 80 
2020,Jan,FV,FM, 91 
2020,Jan,FV,CN, 36 
2020,Jan,FV,PH, 18 
2020,Jan,FV,WC, 37 
2020,Jan,FV,LF, 14 
2020,Jan,FV,OR, 20 
2020,Jan,FV,RR, 50 
2020,Jan,FV,OW, 83 
2020,Jan,FV,EM," 1,107 "
2020,Jan,FV,MT, 976 
2020,Jan,FV,PL, 640 
2020,Jan,FV,CC, 715 
2020,Jan,FV,16, 297 
2020,Jan,FV,24, 196 
2020,Jan,FV,GP, 61 
2020,Jan,FV,BP, 77 
2020,Jan,FV,DC, 83 
2020,Jan,FV,CM, 8 
2020,Jan,FV,CV, 47 
2020,Jan,FV,ED, 125 
2020,Jan,FV,NC, 4 
2020,Jan,FV,WP, 21 
2020,Jan,FV,SS, 13 
2020,Jan,FV,SB, 22 
2020,Jan,FV,SO, 52 
2020,Jan,FV,MB, 22 
2020,Jan,FV,WD, 60 
2020,Jan,FV,OA, 8 
2020,Jan,FV,WS, 74 
2020,Jan,FV,ML, -   
2020,Jan,FV,BE, -   
2020,Jan,FV,PC, 13 
2020,Jan,FV,AN, 19 
2020,Jan,CL,RM, 54 
2020,Jan,CL,EN, 73 
2020,Jan,CL,EP, 27 
2020,Jan,CL,NB, 25 
2020,Jan,CL,BK, 132 
2020,Jan,CL,AS, 50 
2020,Jan,CL,MA, 115 
2020,Jan,CL,19, 144 
2020,Jan,CL,12, 211 
2020,Jan,CL,LM, 174 
2020,Jan,CL,FV, 184 
2020,Jan,CL,CL, 18 
2020,Jan,CL,SL, 88 
2020,Jan,CL,BF, 105 
2020,Jan,CL,HY, 109 
2020,Jan,CL,SH, 54 
2020,Jan,CL,UC, 52 
2020,Jan,CL,FM, 49 
2020,Jan,CL,CN, 36 
2020,Jan,CL,PH, 21 
2020,Jan,CL,WC, 21 
2020,Jan,CL,LF, 6 
2020,Jan,CL,OR, 4 
2020,Jan,CL,RR, 21 
2020,Jan,CL,OW, 66 
2020,Jan,CL,EM, 589 
2020,Jan,CL,MT, 507 
2020,Jan,CL,PL, 317 
2020,Jan,CL,CC, 340 
2020,Jan,CL,16, 141 
2020,Jan,CL,24, 91 
2020,Jan,CL,GP, 44 
2020,Jan,CL,BP, 47 
2020,Jan,CL,DC, 56 
2020,Jan,CL,CM, 5 
2020,Jan,CL,CV, 30 
2020,Jan,CL,ED, 87 
2020,Jan,CL,NC, 6 
2020,Jan,CL,WP, 25 
2020,Jan,CL,SS, 13 
2020,Jan,CL,SB, 16 
2020,Jan,CL,SO, 31 
2020,Jan,CL,MB, 8 
2020,Jan,CL,WD, 37 
2020,Jan,CL,OA, 15 
2020,Jan,CL,WS, 45 
2020,Jan,CL,ML, -   
2020,Jan,CL,BE, -   
2020,Jan,CL,PC, 16 
2020,Jan,CL,AN, 33 
2020,Jan,SL,RM, 35 
2020,Jan,SL,EN, 51 
2020,Jan,SL,EP, 28 
2020,Jan,SL,NB, 28 
2020,Jan,SL,BK, 173 
2020,Jan,SL,AS, 44 
2020,Jan,SL,MA, 114 
2020,Jan,SL,19, 223 
2020,Jan,SL,12, 325 
2020,Jan,SL,LM, 282 
2020,Jan,SL,FV, 223 
2020,Jan,SL,CL, 83 
2020,Jan,SL,SL, 14 
2020,Jan,SL,BF, 94 
2020,Jan,SL,HY, 149 
2020,Jan,SL,SH, 62 
2020,Jan,SL,UC, 75 
2020,Jan,SL,FM, 96 
2020,Jan,SL,CN, 24 
2020,Jan,SL,PH, 20 
2020,Jan,SL,WC, 22 
2020,Jan,SL,LF, 6 
2020,Jan,SL,OR, 9 
2020,Jan,SL,RR, 21 
2020,Jan,SL,OW, 36 
2020,Jan,SL,EM, 991 
2020,Jan,SL,MT, 861 
2020,Jan,SL,PL, 449 
2020,Jan,SL,CC, 460 
2020,Jan,SL,16, 142 
2020,Jan,SL,24, 94 
2020,Jan,SL,GP, 37 
2020,Jan,SL,BP, 54 
2020,Jan,SL,DC, 73 
2020,Jan,SL,CM, 7 
2020,Jan,SL,CV, 40 
2020,Jan,SL,ED, 97 
2020,Jan,SL,NC, 8 
2020,Jan,SL,WP, 14 
2020,Jan,SL,SS, 12 
2020,Jan,SL,SB, 12 
2020,Jan,SL,SO, 46 
2020,Jan,SL,MB, 11 
2020,Jan,SL,WD, 52 
2020,Jan,SL,OA, 6 
2020,Jan,SL,WS, 76 
2020,Jan,SL,ML, -   
2020,Jan,SL,BE, -   
2020,Jan,SL,PC, 5 
2020,Jan,SL,AN, 13 
2020,Jan,BF,RM, 22 
2020,Jan,BF,EN, 34 
2020,Jan,BF,EP, 15 
2020,Jan,BF,NB, 17 
2020,Jan,BF,BK, 113 
2020,Jan,BF,AS, 32 
2020,Jan,BF,MA, 78 
2020,Jan,BF,19, 216 
2020,Jan,BF,12, 315 
2020,Jan,BF,LM, 234 
2020,Jan,BF,FV, 192 
2020,Jan,BF,CL, 104 
2020,Jan,BF,SL, 99 
2020,Jan,BF,BF, 17 
2020,Jan,BF,HY, 87 
2020,Jan,BF,SH, 58 
2020,Jan,BF,UC, 83 
2020,Jan,BF,FM, 110 
2020,Jan,BF,CN, 17 
2020,Jan,BF,PH, 11 
2020,Jan,BF,WC, 10 
2020,Jan,BF,LF, 4 
2020,Jan,BF,OR, 4 
2020,Jan,BF,RR, 10 
2020,Jan,BF,OW, 31 
2020,Jan,BF,EM, 879 
2020,Jan,BF,MT, 766 
2020,Jan,BF,PL, 431 
2020,Jan,BF,CC, 429 
2020,Jan,BF,16, 153 
2020,Jan,BF,24, 70 
2020,Jan,BF,GP, 31 
2020,Jan,BF,BP, 42 
2020,Jan,BF,DC, 42 
2020,Jan,BF,CM, 8 
2020,Jan,BF,CV, 40 
2020,Jan,BF,ED, 133 
2020,Jan,BF,NC, 6 
2020,Jan,BF,WP, 7 
2020,Jan,BF,SS, 11 
2020,Jan,BF,SB, 10 
2020,Jan,BF,SO, 28 
2020,Jan,BF,MB, 9 
2020,Jan,BF,WD, 65 
2020,Jan,BF,OA, 4 
2020,Jan,BF,WS, 67 
2020,Jan,BF,ML, -   
2020,Jan,BF,BE, -   
2020,Jan,BF,PC, 4 
2020,Jan,BF,AN, 8 
2020,Jan,HY,RM, 28 
2020,Jan,HY,EN, 57 
2020,Jan,HY,EP, 21 
2020,Jan,HY,NB, 24 
2020,Jan,HY,BK, 118 
2020,Jan,HY,AS, 30 
2020,Jan,HY,MA, 93 
2020,Jan,HY,19, 196 
2020,Jan,HY,12, 279 
2020,Jan,HY,LM, 140 
2020,Jan,HY,FV, 188 
2020,Jan,HY,CL, 103 
