Year,Month,Entry,Exit,Riders
2009,Jan,MA,MB, 38 
2009,Jan,19,RM, 145 
2009,Jan,19,EN, 458 
2009,Jan,19,EP, 236 
2009,Jan,19,NB, 212 
2009,Jan,19,BK, 480 
2009,Jan,19,AS, 199 
2009,Jan,19,MA, 187 
2009,Jan,19,19, 11 
2009,Jan,19,12, 79 
2009,Jan,19,LM, 57 
2009,Jan,19,FV, 162 
2009,Jan,19,CL, 210 
2009,Jan,19,SL, 231 
2009,Jan,19,BF, 220 
2009,Jan,19,HY, 227 
2009,Jan,19,SH, 158 
2009,Jan,19,UC, 188 
2009,Jan,19,FM, 383 
2009,Jan,19,CN, 242 
2009,Jan,19,PH, 340 
2009,Jan,19,WC, 261 
2009,Jan,19,LF, 147 
2009,Jan,19,OR, 110 
2009,Jan,19,RR, 173 
2009,Jan,19,OW, 58 
2009,Jan,19,EM, 934 
2009,Jan,19,MT, 679 
2009,Jan,19,PL, 522 
2009,Jan,19,CC, 466 
2009,Jan,19,16, 203 
2009,Jan,19,24, 190 
2009,Jan,19,GP, 125 
2009,Jan,19,BP, 113 
2009,Jan,19,DC, 130 
2009,Jan,19,CM, 73 
2009,Jan,19,CV, 68 
2009,Jan,19,ED, 237 
2009,Jan,19,NC, 117 
2009,Jan,19,WP, 229 
2009,Jan,19,SS, 58 
2009,Jan,19,SB, 38 
2009,Jan,19,SO, 48 
2009,Jan,19,MB, 82 
2009,Jan,12,RM, 188 
2009,Jan,12,EN, 655 
2009,Jan,12,EP, 315 
2009,Jan,12,NB, 262 
2009,Jan,12,BK, 578 
2009,Jan,12,AS, 244 
2009,Jan,12,MA, 251 
2009,Jan,12,19, 77 
2009,Jan,12,12, 16 
2009,Jan,12,LM, 55 
2009,Jan,12,FV, 271 
2009,Jan,12,CL, 366 
2009,Jan,12,SL, 363 
2009,Jan,12,BF, 389 
2009,Jan,12,HY, 289 
2009,Jan,12,SH, 204 
2009,Jan,12,UC, 231 
2009,Jan,12,FM, 447 
2009,Jan,12,CN, 323 
2009,Jan,12,PH, 392 
2009,Jan,12,WC, 336 
2009,Jan,12,LF, 193 
2009,Jan,12,OR, 157 
2009,Jan,12,RR, 232 
2009,Jan,12,OW, 108 
2009,Jan,12,EM," 1,195 "
2009,Jan,12,MT, 882 
2009,Jan,12,PL, 750 
2009,Jan,12,CC, 583 
2009,Jan,12,16, 249 
2009,Jan,12,24, 241 
2009,Jan,12,GP, 120 
2009,Jan,12,BP, 139 
2009,Jan,12,DC, 163 
2009,Jan,12,CM, 96 
2009,Jan,12,CV, 117 
2009,Jan,12,ED, 329 
2009,Jan,12,NC, 147 
2009,Jan,12,WP, 303 
2009,Jan,12,SS, 75 
2009,Jan,12,SB, 55 
2009,Jan,12,SO, 71 
2009,Jan,12,MB, 97 
2009,Jan,LM,RM, 45 
2009,Jan,LM,EN, 113 
2009,Jan,LM,EP, 79 
2009,Jan,LM,NB, 68 
2009,Jan,LM,BK, 266 
2009,Jan,LM,AS, 86 
2009,Jan,LM,MA, 113 
2009,Jan,LM,19, 54 
2009,Jan,LM,12, 56 
2009,Jan,LM,LM, 10 
2009,Jan,LM,FV, 179 
2009,Jan,LM,CL, 215 
2009,Jan,LM,SL, 250 
2009,Jan,LM,BF, 230 
2009,Jan,LM,HY, 166 
2009,Jan,LM,SH, 99 
2009,Jan,LM,UC, 120 
2009,Jan,LM,FM, 179 
2009,Jan,LM,CN, 32 
2009,Jan,LM,PH, 26 
2009,Jan,LM,WC, 29 
2009,Jan,LM,LF, 17 
2009,Jan,LM,OR, 12 
2009,Jan,LM,RR, 48 
2009,Jan,LM,OW, 45 
2009,Jan,LM,EM, 705 
2009,Jan,LM,MT, 615 
2009,Jan,LM,PL, 487 
2009,Jan,LM,CC, 355 
2009,Jan,LM,16, 122 
2009,Jan,LM,24, 98 
2009,Jan,LM,GP, 42 
2009,Jan,LM,BP, 74 
2009,Jan,LM,DC, 77 
2009,Jan,LM,CM, 9 
2009,Jan,LM,CV, 89 
2009,Jan,LM,ED, 235 
2009,Jan,LM,NC, 16 
2009,Jan,LM,WP, 34 
2009,Jan,LM,SS, 15 
2009,Jan,LM,SB, 11 
2009,Jan,LM,SO, 28 
2009,Jan,LM,MB, 17 
2009,Jan,FV,RM, 105 
2009,Jan,FV,EN, 146 
2009,Jan,FV,EP, 62 
2009,Jan,FV,NB, 79 
2009,Jan,FV,BK, 296 
2009,Jan,FV,AS, 111 
2009,Jan,FV,MA, 177 
2009,Jan,FV,19, 139 
2009,Jan,FV,12, 258 
2009,Jan,FV,LM, 181 
2009,Jan,FV,FV, 13 
2009,Jan,FV,CL, 280 
2009,Jan,FV,SL, 280 
2009,Jan,FV,BF, 254 
2009,Jan,FV,HY, 273 
2009,Jan,FV,SH, 112 
2009,Jan,FV,UC, 82 
2009,Jan,FV,FM, 140 
2009,Jan,FV,CN, 44 
2009,Jan,FV,PH, 20 
2009,Jan,FV,WC, 42 
2009,Jan,FV,LF, 30 
2009,Jan,FV,OR, 28 
2009,Jan,FV,RR, 60 
2009,Jan,FV,OW, 124 
2009,Jan,FV,EM, 754 
2009,Jan,FV,MT, 729 
2009,Jan,FV,PL, 567 
2009,Jan,FV,CC, 521 
2009,Jan,FV,16, 170 
2009,Jan,FV,24, 145 
2009,Jan,FV,GP, 48 
2009,Jan,FV,BP, 91 
2009,Jan,FV,DC, 84 
2009,Jan,FV,CM, 17 
2009,Jan,FV,CV, 54 
2009,Jan,FV,ED, 161 
2009,Jan,FV,NC, 13 
2009,Jan,FV,WP, 53 
2009,Jan,FV,SS, 17 
2009,Jan,FV,SB, 17 
2009,Jan,FV,SO, 42 
2009,Jan,FV,MB, 20 
2009,Jan,CL,RM, 88 
2009,Jan,CL,EN, 165 
2009,Jan,CL,EP, 68 
2009,Jan,CL,NB, 67 
2009,Jan,CL,BK, 252 
2009,Jan,CL,AS, 114 
